shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2018219-2018239-a12d8e3d1d88,ip-172-31-23-242.us-east-2.compute.internal:16,ip-172-31-30-171.us-east-2.compute.internal:15,560,20,580,20,13,1,560,43
2021223-2021243-2be1c5791cd5,ip-172-31-2-102.us-east-2.compute.internal:15,ip-172-31-11-62.us-east-2.compute.internal:15,240,19,700,19,10,2,240,41
2015255-2015275-1799353bb78c,ip-172-31-13-195.us-east-2.compute.internal:15,ip-172-31-45-209.us-east-2.compute.internal:15,40,20,60,20,0,2,40,40
2014360-2015015-3f851d9deba9,ip-172-31-32-251.us-east-2.compute.internal:14,ip-172-31-40-136.us-east-2.compute.internal:15,40,32,235,32,0,1,40,40
2014340-2014360-c94c1306ce76,ip-172-31-5-95.us-east-2.compute.internal:15,ip-172-31-23-154.us-east-2.compute.internal:15,160,36,440,36,6,2,160,40
2014340-2014360-c572e51bbb6f,ip-172-31-22-204.us-east-2.compute.internal:16,ip-172-31-29-189.us-east-2.compute.internal:16,160,20,180,20,3,1,160,40
2014280-2014300-fc30661c0932,ip-172-31-28-14.us-east-2.compute.internal:16,ip-172-31-10-15.us-east-2.compute.internal:16,720,25,760,25,17,1,720,40
2016350-2017004-e76f7f096d71,ip-172-31-3-2.us-east-2.compute.internal:16,ip-172-31-0-205.us-east-2.compute.internal:16,80,20,120,20,1,2,80,40
2013185-2013205-f5696fb6d31f,ip-172-31-31-123.us-east-2.compute.internal:15,ip-172-31-35-56.us-east-2.compute.internal:15,40,39,280,39,0,1,40,40
2013005-2013025-b4b3df93ac7a,ip-172-31-14-229.us-east-2.compute.internal:16,ip-172-31-3-2.us-east-2.compute.internal:16,40,7,80,7,0,1,40,40
2012351-2013005-27eb25152833,ip-172-31-28-78.us-east-2.compute.internal:15,ip-172-31-40-141.us-east-2.compute.internal:14,440,8,560,8,10,1,440,40
2012251-2012271-2cf5da10ff93,ip-172-31-41-184.us-east-2.compute.internal:15,ip-172-31-29-25.us-east-2.compute.internal:14,320,20,340,20,7,1,320,40
2011216-2011236-914fae46c0a2,ip-172-31-41-105.us-east-2.compute.internal:16,ip-172-31-0-107.us-east-2.compute.internal:16,40,38,80,38,0,1,40,40
2014360-2015015-70aad3f42de6,ip-172-31-37-126.us-east-2.compute.internal:14,ip-172-31-13-151.us-east-2.compute.internal:17,40,14,175,14,0,1,40,40
2012331-2012351-9973a79c5a04,ip-172-31-13-220.us-east-2.compute.internal:14,ip-172-31-18-218.us-east-2.compute.internal:16,320,33,353,33,8,1,320,39
2010181-2010201-82cbbc7d90aa,ip-172-31-18-201.us-east-2.compute.internal:14,ip-172-31-16-134.us-east-2.compute.internal:14,200,38,280,38,5,1,200,28
2018299-2018319-bb658359bfb5,ip-172-31-1-219.us-east-2.compute.internal:16,ip-172-31-20-219.us-east-2.compute.internal:16,560,20,580,20,14,1,560,27
2019114-2019134-25796806047d,ip-172-31-7-117.us-east-2.compute.internal:15,ip-172-31-43-94.us-east-2.compute.internal:15,240,26,680,26,12,2,240,25
2014300-2014320-a7a7502529c0,ip-172-31-42-75.us-east-2.compute.internal:17,ip-172-31-37-42.us-east-2.compute.internal:14,40,28,220,28,1,1,40,20
2013145-2013165-ac03bcba9e2a,ip-172-31-31-61.us-east-2.compute.internal:14,ip-172-31-32-39.us-east-2.compute.internal:14,120,32,232,32,3,1,120,17
2012231-2012251-8d523f5c2ca2,ip-172-31-21-36.us-east-2.compute.internal:14,ip-172-31-34-138.us-east-2.compute.internal:14,40,32,159,32,1,1,40,16
2016330-2016350-5b3ccda1404a,ip-172-31-27-188.us-east-2.compute.internal:15,ip-172-31-17-253.us-east-2.compute.internal:15,80,16,140,16,2,1,80,13
2014020-2014040-1c8fd802e867,ip-172-31-31-38.us-east-2.compute.internal:16,ip-172-31-29-189.us-east-2.compute.internal:16,160,20,180,20,4,1,160,12
2010141-2010161-84a8e57a65f8,ip-172-31-8-31.us-east-2.compute.internal:14,ip-172-31-5-113.us-east-2.compute.internal:17,40,20,60,20,1,1,40,7
2015015-2015035-878a0c14d57c,ip-172-31-4-118.us-east-2.compute.internal:14,ip-172-31-1-148.us-east-2.compute.internal:14,120,17,140,17,3,1,120,5
2013265-2013285-112c4f9d2d38,ip-172-31-1-148.us-east-2.compute.internal:16,ip-172-31-26-63.us-east-2.compute.internal:15,280,35,360,35,7,1,280,3
