shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2009197-2009217-12bf9d022bdd,plan up to the resumed attempt's first day (progress overwritten),11,4,336,400,240,160
2008063-2008083-bb7eb0b61b8d,plan up to the resumed attempt's first day (progress overwritten),9,6,416,360,120,152
2009077-2009097-8a93f504027f,plan up to the resumed attempt's first day (progress overwritten),13,5,348,460,260,120
2009297-2009317-34555bc1f7bb,plan up to the resumed attempt's first day (progress overwritten),12,6,336,457,240,100
2005158-2005178-8d08291bf848,plan up to the resumed attempt's first day (progress overwritten),13,11,522,491,60,89
2005138-2005158-4dcfe3e2f735,plan up to the resumed attempt's first day (progress overwritten),14,12,522,498,60,81
2009317-2009337-e4cd47d658ee,progress (first attempt),5,3,160,146,26,40
2009017-2009037-d65e911f1435,plan up to the resumed attempt's first day (progress overwritten),4,1,84,99,59,40
2009317-2009337-59a4d58aba32,plan up to the resumed attempt's first day (progress overwritten),4,1,84,84,44,40
2003309-2003329-57eb43e519f6,progress (first attempt),4,3,160,122,2,40
2006293-2006313-f1f9da6ab9cf,progress (first attempt),4,3,120,104,20,36
2006333-2006353-0bf378ddcfb8,progress (first attempt),4,3,120,114,20,26
2008303-2008323-edf1c470beb4,progress (first attempt),10,9,360,370,29,19
2009137-2009157-4b9ce43b9e6c,plan up to the resumed attempt's first day (progress overwritten),5,4,170,190,40,10
