shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2019234-2019254-d2554ddbb88a,plan up to the resumed attempt's first day (progress overwritten),6,2,544,122,61,474
2019214-2019234-7f4494d4aebc,plan up to the resumed attempt's first day (progress overwritten),8,3,476,134,82,415
2018239-2018259-54762102a59d,plan up to the resumed attempt's first day (progress overwritten),12,8,544,207,67,393
2020149-2020169-e465b043957e,plan up to the resumed attempt's first day (progress overwritten),7,1,385,117,105,368
2017124-2017144-1d230a734d40,plan up to the resumed attempt's first day (progress overwritten),8,2,403,143,103,353
2018099-2018119-5494611cd1dd,plan up to the resumed attempt's first day (progress overwritten),10,4,434,188,108,343
2022018-2022038-014a423ce735,plan up to the resumed attempt's first day (progress overwritten),10,3,385,178,120,316
2020049-2020069-8ce2a8988adc,plan up to the resumed attempt's first day (progress overwritten),11,6,442,203,83,311
2022078-2022098-16ab2dd70761,plan up to the resumed attempt's first day (progress overwritten),12,4,385,193,113,304
2016070-2016090-f8a5d8004a26,plan up to the resumed attempt's first day (progress overwritten),6,1,276,94,82,262
2013105-2013125-b66ef0143f65,plan up to the resumed attempt's first day (progress overwritten),8,5,464,279,79,249
2014240-2014260-a397e8bfdf0b,plan up to the resumed attempt's first day (progress overwritten),13,6,494,512,280,248
2017004-2017024-3af2f3b9e9fd,plan up to the resumed attempt's first day (progress overwritten),6,1,288,219,180,237
2015335-2015355-4b6c944e8c6b,plan up to the resumed attempt's first day (progress overwritten),6,1,288,220,180,236
2012171-2012191-6e1ffa72e04e,plan up to the resumed attempt's first day (progress overwritten),5,3,330,152,56,228
2019294-2019314-9aae7997310d,plan up to the resumed attempt's first day (progress overwritten),14,4,306,231,151,223
2021203-2021223-75e65f035c61,plan up to the resumed attempt's first day (progress overwritten),11,1,245,180,163,219
2015095-2015115-cd2248812bd0,plan up to the resumed attempt's first day (progress overwritten),6,2,312,240,160,212
2013185-2013205-8371f2d5648b,plan up to the resumed attempt's first day (progress overwritten),8,5,420,316,116,210
2014220-2014240-95cf1bd80c05,plan up to the resumed attempt's first day (progress overwritten),7,3,325,280,160,199
2020029-2020049-5e1a12b75f24,plan up to the resumed attempt's first day (progress overwritten),10,2,238,180,140,188
2015255-2015275-a2db3333663e,plan up to the resumed attempt's first day (progress overwritten),4,2,272,120,40,184
2014040-2014060-c4ae62621a4e,plan up to the resumed attempt's first day (progress overwritten),11,7,465,438,158,177
2014360-2015015-e542ef2e9f85,plan up to the resumed attempt's first day (progress overwritten),10,4,242,165,100,175
2024168-2024188-c102b6418298,plan up to the resumed attempt's first day (progress overwritten),5,2,247,128,60,172
2013185-2013205-3554212f7f5b,plan up to the resumed attempt's first day (progress overwritten),4,2,255,140,60,170
2012191-2012211-be0855652c4a,plan up to the resumed attempt's first day (progress overwritten),4,2,255,140,60,170
2018259-2018279-46febf9e827d,plan up to the resumed attempt's first day (progress overwritten),9,7,414,287,47,159
2017364-2018019-94d082a45896,plan up to the resumed attempt's first day (progress overwritten),13,2,186,230,201,150
