shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2026101-2026121-a8d7b90bcd30,plan up to the resumed attempt's first day (progress overwritten),4,2,480,136,56,399
2026081-2026101-8c7325e19261,plan up to the resumed attempt's first day (progress overwritten),10,8,702,347,58,397
2026121-2026141-f969d83d37ff,plan up to the resumed attempt's first day (progress overwritten),7,5,592,270,70,389
2026201-2026221-acc4e06a0780,plan up to the resumed attempt's first day (progress overwritten),6,4,512,164,44,387
2026161-2026181-74231ad455ef,plan up to the resumed attempt's first day (progress overwritten),7,4,540,260,100,375
2026121-2026141-42a0c1e7bd96,plan up to the resumed attempt's first day (progress overwritten),6,4,464,102,80,358
2026181-2026201-d8bd810eb240,plan up to the resumed attempt's first day (progress overwritten),9,6,576,302,82,354
2026101-2026121-756b465c6c66,plan up to the resumed attempt's first day (progress overwritten),11,3,480,433,317,349
2026121-2026141-39461c7ebaca,plan up to the resumed attempt's first day (progress overwritten),4,1,390,129,97,348
2026141-2026161-6b5539f31ccf,plan up to the resumed attempt's first day (progress overwritten),9,8,666,358,40,344
2026161-2026181-9b12e4054295,plan up to the resumed attempt's first day (progress overwritten),4,1,390,138,100,342
2026101-2026121-dcfea068db09,plan up to the resumed attempt's first day (progress overwritten),5,1,396,198,160,341
2026161-2026181-e82c80a923d5,plan up to the resumed attempt's first day (progress overwritten),5,1,384,178,140,340
2026161-2026181-160d7c0603c9,plan up to the resumed attempt's first day (progress overwritten),5,1,396,200,160,340
2026221-2026241-59182d51a6e8,plan up to the resumed attempt's first day (progress overwritten),6,3,429,201,81,335
2026101-2026121-07f7a74a1c83,plan up to the resumed attempt's first day (progress overwritten),6,5,540,234,40,334
2026021-2026041-adfcbaeaf36b,plan up to the resumed attempt's first day (progress overwritten),8,6,561,282,60,331
2026181-2026201-018fd43b2105,plan up to the resumed attempt's first day (progress overwritten),7,4,480,236,100,328
2026221-2026241-b534cb8b0491,plan up to the resumed attempt's first day (progress overwritten),6,3,448,231,120,323
2026181-2026201-360add8575c8,plan up to the resumed attempt's first day (progress overwritten),7,1,342,226,212,321
2026001-2026021-3f4bf7f7c20c,plan up to the resumed attempt's first day (progress overwritten),6,1,384,243,197,317
2026141-2026161-1f76feaeea84,plan up to the resumed attempt's first day (progress overwritten),7,5,476,210,60,311
2026201-2026221-2be2fea850e5,plan up to the resumed attempt's first day (progress overwritten),9,6,540,310,82,307
2026121-2026141-be05c08cccbe,plan up to the resumed attempt's first day (progress overwritten),9,7,576,316,57,302
2026041-2026061-d9109b725d66,plan up to the resumed attempt's first day (progress overwritten),7,2,384,213,133,302
2026041-2026061-97dc9402b18d,plan up to the resumed attempt's first day (progress overwritten),5,1,351,140,100,302
2026041-2026061-c1facb2c18eb,plan up to the resumed attempt's first day (progress overwritten),6,3,420,196,76,293
2026081-2026101-085dd74d6199,plan up to the resumed attempt's first day (progress overwritten),8,6,512,287,78,293
2026101-2026121-ba6d67fbe337,plan up to the resumed attempt's first day (progress overwritten),5,2,378,172,100,292
2026201-2026221-0c4bafd73e45,plan up to the resumed attempt's first day (progress overwritten),7,5,464,236,71,287
2026081-2026101-c1b76930cf78,plan up to the resumed attempt's first day (progress overwritten),7,5,476,238,52,283
2026161-2026181-1075c358fa00,plan up to the resumed attempt's first day (progress overwritten),5,2,364,168,100,279
2026161-2026181-9c1a7e257be7,plan up to the resumed attempt's first day (progress overwritten),7,2,377,259,192,277
2026061-2026081-9eb1e9181789,plan up to the resumed attempt's first day (progress overwritten),5,2,364,195,115,276
2026181-2026201-9342d186d9db,plan up to the resumed attempt's first day (progress overwritten),5,1,308,176,160,276
2026001-2026021-9e812e8eb03d,plan up to the resumed attempt's first day (progress overwritten),5,4,408,171,40,267
2026001-2026021-e1920a63317c,plan up to the resumed attempt's first day (progress overwritten),12,6,518,457,234,264
2026161-2026181-30190c09953f,plan up to the resumed attempt's first day (progress overwritten),9,4,434,324,182,264
2026201-2026221-a5273f124023,plan up to the resumed attempt's first day (progress overwritten),9,6,480,297,100,264
2026181-2026201-aa85e37a8c5c,plan up to the resumed attempt's first day (progress overwritten),7,1,279,260,238,256
2026141-2026161-2cfba840b9a2,plan up to the resumed attempt's first day (progress overwritten),9,5,420,299,140,256
2026021-2026041-e717004a9127,plan up to the resumed attempt's first day (progress overwritten),10,4,418,359,199,245
2026201-2026221-58203b2c1ea9,plan up to the resumed attempt's first day (progress overwritten),6,5,408,201,40,239
2026101-2026121-f1c8cafd634e,plan up to the resumed attempt's first day (progress overwritten),4,1,286,125,100,239
2026121-2026141-f72cc1950adb,plan up to the resumed attempt's first day (progress overwritten),6,1,275,235,200,233
2026061-2026081-f2a536ce7662,plan up to the resumed attempt's first day (progress overwritten),4,1,276,140,120,232
2026221-2026241-a5a8b36d68aa,plan up to the resumed attempt's first day (progress overwritten),4,1,276,156,116,231
2026041-2026061-642ff6a0699c,plan up to the resumed attempt's first day (progress overwritten),11,9,608,400,40,230
2026001-2026021-f8d4946d176f,plan up to the resumed attempt's first day (progress overwritten),4,2,315,140,60,230
2026021-2026041-eaa84c3c13d0,plan up to the resumed attempt's first day (progress overwritten),9,3,351,319,200,229
2026121-2026141-aab86ca4a9e0,plan up to the resumed attempt's first day (progress overwritten),4,2,300,124,60,226
2026121-2026141-92a32aa2fa85,plan up to the resumed attempt's first day (progress overwritten),10,8,527,376,80,223
2026041-2026061-92d9365fe0bc,plan up to the resumed attempt's first day (progress overwritten),5,2,286,148,93,217
2026001-2026021-dfba47e0020d,plan up to the resumed attempt's first day (progress overwritten),5,3,345,200,80,215
2026181-2026201-805f90cf132e,plan up to the resumed attempt's first day (progress overwritten),5,1,231,171,160,215
2026121-2026141-12b6fc2ddae9,plan up to the resumed attempt's first day (progress overwritten),6,3,330,191,96,214
2026021-2026041-886a29d2c646,plan up to the resumed attempt's first day (progress overwritten),9,3,333,320,200,211
2026021-2026041-395cf782061b,plan up to the resumed attempt's first day (progress overwritten),10,7,496,387,117,210
2026061-2026081-3acd726c8d83,plan up to the resumed attempt's first day (progress overwritten),6,3,336,229,120,209
2026081-2026101-b3785a7f7fae,plan up to the resumed attempt's first day (progress overwritten),7,4,377,277,117,209
2026161-2026181-b1dab05416f5,plan up to the resumed attempt's first day (progress overwritten),10,6,450,380,140,205
2026181-2026201-07daece71a75,plan up to the resumed attempt's first day (progress overwritten),5,4,340,170,40,200
2026141-2026161-e65c81305b93,plan up to the resumed attempt's first day (progress overwritten),11,9,558,405,66,199
2026141-2026161-34d4e43c883e,plan up to the resumed attempt's first day (progress overwritten),7,1,210,170,179,199
2026141-2026161-1fd51faf354f,plan up to the resumed attempt's first day (progress overwritten),7,4,325,210,100,198
2026201-2026221-8c3a9ad02dbc,plan up to the resumed attempt's first day (progress overwritten),9,1,217,279,279,198
2026221-2026241-c3ad1d9f52bc,plan up to the resumed attempt's first day (progress overwritten),5,4,357,196,40,197
2026001-2026021-97431764b1f3,plan up to the resumed attempt's first day (progress overwritten),3,1,238,89,60,196
2026061-2026081-dd9cb04bc465,plan up to the resumed attempt's first day (progress overwritten),3,1,238,89,60,196
2026181-2026201-bbc3696e4823,plan up to the resumed attempt's first day (progress overwritten),7,1,234,254,240,196
2026201-2026221-c4f9f85be77f,plan up to the resumed attempt's first day (progress overwritten),7,6,414,248,40,194
2026181-2026201-201ac550ad19,plan up to the resumed attempt's first day (progress overwritten),5,2,252,172,120,191
2026001-2026021-f9dce9499472,plan up to the resumed attempt's first day (progress overwritten),6,2,260,191,139,183
2026181-2026201-3863d113d55a,plan up to the resumed attempt's first day (progress overwritten),5,2,240,174,120,178
2026201-2026221-3423693db946,plan up to the resumed attempt's first day (progress overwritten),8,5,364,273,100,178
2026141-2026161-987a8f94bb69,plan up to the resumed attempt's first day (progress overwritten),7,2,260,215,140,175
2026141-2026161-74258b848266,plan up to the resumed attempt's first day (progress overwritten),8,5,266,276,107,173
2026021-2026041-7181ab586b81,plan up to the resumed attempt's first day (progress overwritten),8,3,308,280,160,172
2026101-2026121-f91346436527,plan up to the resumed attempt's first day (progress overwritten),3,1,210,85,60,172
2026141-2026161-212f4b671c67,plan up to the resumed attempt's first day (progress overwritten),7,2,252,235,160,171
2026121-2026141-d9720537ee13,plan up to the resumed attempt's first day (progress overwritten),5,3,300,200,80,170
2026101-2026121-396a9000724c,plan up to the resumed attempt's first day (progress overwritten),3,2,256,120,40,168
