shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2018019-2018039-8ee7cf10b830,plan up to the resumed attempt's first day (progress overwritten),16,12,648,202,47,472
2023233-2023253-1c91af83c6c9,plan up to the resumed attempt's first day (progress overwritten),7,5,629,194,57,472
2023273-2023293-e95cbcef4c9a,plan up to the resumed attempt's first day (progress overwritten),6,2,468,67,60,457
2013165-2013185-0f22d3e24bfa,plan up to the resumed attempt's first day (progress overwritten),10,6,578,160,40,448
2014060-2014080-ffc43f0de57f,plan up to the resumed attempt's first day (progress overwritten),6,2,476,87,68,441
2024188-2024208-c803c7f272ab,plan up to the resumed attempt's first day (progress overwritten),7,5,648,240,48,441
2025082-2025102-aaed97ab8099,plan up to the resumed attempt's first day (progress overwritten),9,8,720,327,40,427
2024008-2024028-1a172f719e76,plan up to the resumed attempt's first day (progress overwritten),6,5,630,231,40,427
2025002-2025022-f7b6d6258d6a,plan up to the resumed attempt's first day (progress overwritten),5,2,507,200,120,419
2019154-2019174-736c02f766d7,plan up to the resumed attempt's first day (progress overwritten),6,5,630,240,40,418
2024028-2024048-6ff5938c4ae6,plan up to the resumed attempt's first day (progress overwritten),7,5,595,230,58,410
2023173-2023193-6087ec34e5f5,plan up to the resumed attempt's first day (progress overwritten),7,5,595,216,53,409
2022298-2022318-84c3f485efa7,plan up to the resumed attempt's first day (progress overwritten),7,5,595,228,60,407
2016130-2016150-a6f065e02674,plan up to the resumed attempt's first day (progress overwritten),4,2,495,144,64,406
2014060-2014080-10cb4bb9d203,plan up to the resumed attempt's first day (progress overwritten),15,6,490,172,100,404
2023153-2023173-c97395c23a6b,plan up to the resumed attempt's first day (progress overwritten),10,4,490,176,101,403
2017304-2017324-0a54445e1fac,plan up to the resumed attempt's first day (progress overwritten),10,6,510,169,67,402
2017244-2017264-008592dbf0b9,plan up to the resumed attempt's first day (progress overwritten),8,2,442,136,100,401
2019194-2019214-3a7afcf4c481,plan up to the resumed attempt's first day (progress overwritten),6,3,512,157,66,401
2014100-2014120-56de7aff3123,plan up to the resumed attempt's first day (progress overwritten),15,6,490,177,100,400
2021363-2022018-8006a3a13f24,plan up to the resumed attempt's first day (progress overwritten),11,7,528,184,57,398
2021183-2021203-f0a6c32e5459,plan up to the resumed attempt's first day (progress overwritten),5,2,480,152,81,396
2023033-2023053-afbfa2eeb161,plan up to the resumed attempt's first day (progress overwritten),12,8,560,227,75,396
2022298-2022318-40d31b6d0b44,plan up to the resumed attempt's first day (progress overwritten),4,2,476,139,61,395
2017324-2017344-0a04f47e5aa7,plan up to the resumed attempt's first day (progress overwritten),6,4,525,184,62,395
2010201-2010221-8afc30096ae9,plan up to the resumed attempt's first day (progress overwritten),12,8,525,185,57,394
2017244-2017264-03e1b039ce9d,plan up to the resumed attempt's first day (progress overwritten),4,2,480,143,69,392
2012211-2012231-8497d79e54ee,plan up to the resumed attempt's first day (progress overwritten),9,3,468,310,207,390
2023033-2023053-dc22b60c508a,plan up to the resumed attempt's first day (progress overwritten),7,6,630,274,40,388
2018099-2018119-239cd6bf7d93,plan up to the resumed attempt's first day (progress overwritten),5,3,512,171,60,387
2010161-2010181-9edd79223b79,plan up to the resumed attempt's first day (progress overwritten),9,7,684,333,58,387
2023013-2023033-014e228d8f98,plan up to the resumed attempt's first day (progress overwritten),7,4,560,238,80,386
2010241-2010261-3782cf54087d,plan up to the resumed attempt's first day (progress overwritten),7,6,629,278,40,384
2024348-2025002-98478803bba7,plan up to the resumed attempt's first day (progress overwritten),7,4,560,240,80,384
2024308-2024328-ba6735005c11,plan up to the resumed attempt's first day (progress overwritten),6,4,560,240,80,384
2020069-2020089-90dc1ad114ff,plan up to the resumed attempt's first day (progress overwritten),4,2,464,119,41,383
2025062-2025082-92fa96ae1d11,plan up to the resumed attempt's first day (progress overwritten),7,6,630,279,40,383
2011156-2011176-fc756038da8e,plan up to the resumed attempt's first day (progress overwritten),10,1,429,380,340,382
2016190-2016210-462d285b7ee7,plan up to the resumed attempt's first day (progress overwritten),21,3,432,243,205,382
2013305-2013325-b77df368afa9,plan up to the resumed attempt's first day (progress overwritten),16,2,432,242,207,382
2017304-2017324-292e49b15bee,plan up to the resumed attempt's first day (progress overwritten),6,5,544,195,40,382
2019094-2019114-c9b8866739f7,plan up to the resumed attempt's first day (progress overwritten),6,4,544,204,60,381
2011216-2011236-8f2a506d594a,plan up to the resumed attempt's first day (progress overwritten),16,9,504,229,109,380
2011256-2011276-3587b2dea4f5,plan up to the resumed attempt's first day (progress overwritten),15,5,468,202,121,380
2024348-2025002-e953555ecadf,plan up to the resumed attempt's first day (progress overwritten),18,6,468,200,120,380
2019174-2019194-fcbf6c8370c1,plan up to the resumed attempt's first day (progress overwritten),9,5,464,127,47,379
2013185-2013205-7856dd43831a,plan up to the resumed attempt's first day (progress overwritten),11,2,480,407,327,377
2024328-2024348-a72b4aa696af,plan up to the resumed attempt's first day (progress overwritten),7,5,560,248,80,376
2017024-2017044-f3222ec033f1,plan up to the resumed attempt's first day (progress overwritten),11,7,510,197,67,372
2010341-2010361-10c95a037a5e,plan up to the resumed attempt's first day (progress overwritten),10,1,418,378,338,371
2024328-2024348-2d280ae6600d,plan up to the resumed attempt's first day (progress overwritten),15,11,680,375,141,371
2025182-2025202-ceae7fbea4f2,plan up to the resumed attempt's first day (progress overwritten),7,3,504,260,140,370
2015155-2015175-5bacf3e0104e,plan up to the resumed attempt's first day (progress overwritten),21,3,432,263,223,370
