tid,yr,doy
X6.BB25.,2008,306
X6.EW09.,2008,63
X6.EW09.,2008,64
X6.EW09.,2008,65
X6.EW09.,2008,66
X6.EW09.,2008,67
X6.EW09.,2008,68
X6.EW09.,2008,69
X6.EW09.,2008,70
X6.EW09.,2008,71
X6.EW09.,2008,72
X6.EW09.,2008,73
X6.EW09.,2008,74
X6.EW09.,2008,75
X6.EW09.,2008,76
X6.EW09.,2008,77
X6.EW09.,2008,78
X6.EW09.,2008,306
X6.EW10.,2008,63
X6.EW10.,2008,64
X6.EW10.,2008,65
X6.EW10.,2008,66
X6.EW10.,2008,67
X6.EW10.,2008,306
X6.EW11.,2008,63
X6.EW11.,2008,64
X6.EW11.,2008,65
X6.EW11.,2008,66
X6.EW11.,2008,67
X6.EW11.,2008,306
X6.EW12.,2008,63
X6.EW12.,2008,64
X6.EW12.,2008,65
X6.EW12.,2008,66
X6.EW12.,2008,67
X6.EW12.,2008,306
X6.EW13.,2008,63
X6.EW13.,2008,64
X6.EW13.,2008,65
X6.EW13.,2008,66
X6.EW13.,2008,67
X6.EW13.,2008,306
X6.EW14.,2008,63
X6.EW14.,2008,64
X6.EW14.,2008,65
X6.EW14.,2008,66
X6.EW14.,2008,67
X6.EW15.,2008,63
X6.EW15.,2008,64
X6.EW15.,2008,65
X6.EW15.,2008,66
X6.EW15.,2008,67
X6.EW15.,2008,306
X6.EW16.,2008,63
X6.EW16.,2008,64
X6.EW16.,2008,65
X6.EW16.,2008,66
X6.EW16.,2008,67
X6.EW16.,2008,306
X6.EW17.,2008,63
X6.EW17.,2008,64
X6.EW17.,2008,65
X6.EW17.,2008,66
X6.EW17.,2008,67
X6.EW17.,2008,306
X6.EW18.,2008,63
X6.EW18.,2008,64
X6.EW18.,2008,65
X6.EW18.,2008,66
X6.EW18.,2008,67
X6.EW18.,2008,306
X6.EW19.,2008,63
X6.EW19.,2008,64
X6.EW19.,2008,65
X6.EW19.,2008,66
X6.EW19.,2008,67
X6.EW19.,2008,306
X6.EW20.,2008,63
X6.EW20.,2008,64
X6.EW20.,2008,65
X6.EW20.,2008,66
X6.EW20.,2008,67
X6.EW20.,2008,306
X6.NS05.,2008,63
X6.NS05.,2008,64
X6.NS05.,2008,65
X6.NS05.,2008,66
X6.NS05.,2008,67
X6.NS05.,2008,306
X6.NS06.,2008,63
X6.NS06.,2008,64
X6.NS06.,2008,65
X6.NS06.,2008,66
X6.NS06.,2008,67
X6.NS06.,2008,306
X6.NS07.,2008,63
X6.NS07.,2008,64
X6.NS07.,2008,65
X6.NS07.,2008,66
X6.NS07.,2008,67
X6.NS07.,2008,306
X6.NS08.,2008,63
X6.NS08.,2008,64
X6.NS08.,2008,65
X6.NS08.,2008,66
X6.NS08.,2008,67
X6.NS08.,2008,306
X6.NS09.,2008,63
X6.NS09.,2008,64
X6.NS09.,2008,65
X6.NS09.,2008,66
X6.NS09.,2008,67
X6.NS09.,2008,306
X6.NS10.,2008,63
X6.NS10.,2008,64
X6.NS10.,2008,65
X6.NS10.,2008,66
X6.NS10.,2008,67
X6.NS10.,2008,306
X6.NS11.,2008,63
X6.NS11.,2008,64
X6.NS11.,2008,65
X6.NS11.,2008,66
X6.NS11.,2008,67
X6.NS12.,2008,63
X6.NS12.,2008,64
X6.NS12.,2008,65
X6.NS12.,2008,66
X6.NS12.,2008,67
X6.NS12.,2008,68
X6.NS12.,2008,69
X6.NS12.,2008,70
X6.NS12.,2008,71
X6.NS12.,2008,72
X6.NS12.,2008,73
X6.NS12.,2008,74
X6.NS12.,2008,75
X6.NS12.,2008,76
X6.NS12.,2008,77
X6.NS12.,2008,78
X6.NS13.,2008,63
X6.NS13.,2008,64
X6.NS13.,2008,65
X6.NS13.,2008,66
X6.NS13.,2008,67
X6.NS13.,2008,303
