tid,yr,doy
2F.TB007.,2019,32
2F.TB007.,2019,60
2F.TB007.,2019,61
2F.TB007.,2019,62
2F.TB007.,2019,63
2F.TB007.,2019,64
2F.TB007.,2019,65
2F.TB007.,2019,66
2F.TB007.,2019,94
2F.TB007.,2019,95
2F.TB007.,2019,96
2F.TB007.,2019,97
2F.TB007.,2019,98
2F.TB007.,2019,99
2F.TB009.,2019,32
2F.TB009.,2019,60
2F.TB009.,2019,61
2F.TB009.,2019,62
2F.TB009.,2019,63
2F.TB009.,2019,64
2F.TB009.,2019,65
2F.TB009.,2019,66
2F.TB009.,2019,94
2F.TB009.,2019,95
2F.TB009.,2019,96
2F.TB009.,2019,97
2F.TB009.,2019,98
2F.TB009.,2019,99
2F.TB010.,2019,32
2F.TB010.,2019,60
2F.TB010.,2019,61
2F.TB010.,2019,62
2F.TB010.,2019,63
2F.TB010.,2019,64
2F.TB010.,2019,65
2F.TB010.,2019,66
2F.TB010.,2019,94
2F.TB010.,2019,95
2F.TB010.,2019,96
2F.TB010.,2019,97
2F.TB010.,2019,98
2F.TB010.,2019,99
2F.TB011.,2019,32
2F.TB011.,2019,60
2F.TB011.,2019,61
2F.TB011.,2019,62
2F.TB011.,2019,63
2F.TB011.,2019,64
2F.TB011.,2019,65
2F.TB011.,2019,66
2F.TB011.,2019,94
2F.TB011.,2019,95
2F.TB011.,2019,96
2F.TB011.,2019,97
2F.TB011.,2019,98
2F.TB011.,2019,99
2F.TB012.,2019,60
2F.TB012.,2019,61
2F.TB012.,2019,62
2F.TB012.,2019,63
2F.TB012.,2019,64
2F.TB012.,2019,65
2F.TB012.,2019,66
2F.TB012.,2019,94
2F.TB012.,2019,95
2F.TB012.,2019,96
2F.TB012.,2019,97
2F.TB012.,2019,98
2F.TB012.,2019,99
2F.TB013.,2019,60
2F.TB013.,2019,61
2F.TB013.,2019,62
2F.TB013.,2019,63
2F.TB013.,2019,64
2F.TB013.,2019,65
2F.TB013.,2019,66
2F.TB013.,2019,94
2F.TB013.,2019,95
2F.TB013.,2019,96
2F.TB013.,2019,97
2F.TB013.,2019,98
2F.TB013.,2019,99
2F.TB015.,2019,60
2F.TB015.,2019,61
2F.TB015.,2019,62
2F.TB015.,2019,63
2F.TB015.,2019,64
2F.TB015.,2019,65
2F.TB015.,2019,66
2F.TB015.,2019,94
2F.TB015.,2019,95
2F.TB015.,2019,96
2F.TB015.,2019,97
2F.TB015.,2019,98
2F.TB015.,2019,99
2F.TB016.,2019,60
2F.TB016.,2019,61
2F.TB016.,2019,62
2F.TB016.,2019,63
2F.TB016.,2019,64
2F.TB016.,2019,65
2F.TB016.,2019,66
2F.TB016.,2019,94
2F.TB016.,2019,95
2F.TB016.,2019,96
2F.TB016.,2019,97
2F.TB016.,2019,98
2F.TB016.,2019,99
2F.TB017.,2019,60
2F.TB017.,2019,61
2F.TB017.,2019,62
2F.TB017.,2019,63
2F.TB017.,2019,64
2F.TB017.,2019,65
2F.TB017.,2019,66
2F.TB017.,2019,94
2F.TB017.,2019,95
2F.TB017.,2019,96
2F.TB017.,2019,97
2F.TB017.,2019,98
2F.TB017.,2019,99
2F.TB018.,2019,60
2F.TB018.,2019,61
2F.TB018.,2019,62
2F.TB018.,2019,63
2F.TB018.,2019,64
2F.TB018.,2019,65
2F.TB018.,2019,66
2F.TB018.,2019,94
2F.TB018.,2019,95
2F.TB018.,2019,96
2F.TB018.,2019,97
2F.TB018.,2019,98
2F.TB018.,2019,99
2F.TB019.,2019,60
2F.TB019.,2019,61
2F.TB019.,2019,62
2F.TB019.,2019,63
2F.TB019.,2019,64
2F.TB019.,2019,65
2F.TB019.,2019,66
2F.TB019.,2019,94
2F.TB019.,2019,95
2F.TB019.,2019,96
2F.TB019.,2019,97
2F.TB019.,2019,98
2F.TB019.,2019,99
2F.TB020.,2019,60
2F.TB020.,2019,61
2F.TB020.,2019,62
2F.TB020.,2019,63
2F.TB020.,2019,64
2F.TB020.,2019,65
2F.TB020.,2019,66
2F.TB020.,2019,94
2F.TB020.,2019,95
2F.TB020.,2019,96
2F.TB020.,2019,97
2F.TB020.,2019,98
2F.TB020.,2019,99
2F.TB022.,2019,60
2F.TB022.,2019,61
2F.TB022.,2019,62
2F.TB022.,2019,63
2F.TB022.,2019,64
2F.TB022.,2019,65
2F.TB022.,2019,66
2F.TB022.,2019,94
2F.TB022.,2019,95
2F.TB022.,2019,96
2F.TB022.,2019,97
2F.TB022.,2019,98
2F.TB022.,2019,99
2F.TB023.,2019,60
2F.TB023.,2019,61
2F.TB023.,2019,62
2F.TB023.,2019,63
2F.TB023.,2019,64
2F.TB023.,2019,65
2F.TB023.,2019,66
2F.TB023.,2019,94
2F.TB023.,2019,95
2F.TB023.,2019,96
2F.TB023.,2019,97
2F.TB023.,2019,98
2F.TB023.,2019,99
2F.TB024.,2019,60
2F.TB024.,2019,61
2F.TB024.,2019,62
2F.TB024.,2019,63
2F.TB024.,2019,64
2F.TB024.,2019,65
2F.TB024.,2019,66
2F.TB024.,2019,94
2F.TB024.,2019,95
2F.TB024.,2019,96
2F.TB024.,2019,97
2F.TB024.,2019,98
2F.TB024.,2019,99
2F.TB024.,2019,100
2F.TB024.,2019,101
2F.TB024.,2019,102
2F.TB024.,2019,103
2F.TB024.,2019,104
2F.TB024.,2019,105
2F.TB024.,2019,106
2F.TB024.,2019,107
2F.TB024.,2019,108
2F.TB024.,2019,109
2F.TB025.,2019,60
2F.TB025.,2019,61
2F.TB025.,2019,62
2F.TB025.,2019,63
2F.TB025.,2019,64
2F.TB025.,2019,65
2F.TB025.,2019,66
2F.TB025.,2019,94
2F.TB025.,2019,95
2F.TB025.,2019,96
2F.TB025.,2019,97
2F.TB025.,2019,98
2F.TB025.,2019,99
2F.TB026.,2019,60
2F.TB026.,2019,61
2F.TB026.,2019,62
