tid,yr,doy
AZ.FRD.,2026,182
AZ.FRD.,2026,183
AZ.FRD.,2026,184
AZ.FRD.,2026,185
AZ.FRD.,2026,186
AZ.FRD.,2026,187
AZ.FRD.,2026,188
AZ.FRD.,2026,189
AZ.FRD.,2026,190
AZ.FRD.,2026,191
AZ.FRD.,2026,192
AZ.FRD.,2026,193
AZ.FRD.,2026,194
AZ.LVA2.,2026,182
AZ.LVA2.,2026,183
AZ.LVA2.,2026,184
AZ.LVA2.,2026,185
AZ.LVA2.,2026,186
AZ.LVA2.,2026,187
AZ.LVA2.,2026,188
AZ.LVA2.,2026,189
AZ.LVA2.,2026,190
AZ.LVA2.,2026,191
AZ.LVA2.,2026,192
AZ.LVA2.,2026,193
AZ.MONP2.,2026,182
AZ.MONP2.,2026,183
AZ.MONP2.,2026,184
AZ.MONP2.,2026,185
AZ.MONP2.,2026,186
AZ.MONP2.,2026,187
AZ.MONP2.,2026,188
AZ.MONP2.,2026,189
AZ.MONP2.,2026,190
AZ.MONP2.,2026,191
AZ.MONP2.,2026,192
AZ.MONP2.,2026,193
AZ.SIO5.,2026,182
AZ.SIO5.,2026,183
AZ.SIO5.,2026,184
AZ.SIO5.,2026,185
AZ.SIO5.,2026,186
AZ.SIO5.,2026,187
AZ.SIO5.,2026,188
AZ.SMER.,2026,182
AZ.SMER.,2026,183
AZ.SMER.,2026,184
AZ.SMER.,2026,185
AZ.SMER.,2026,186
AZ.SMER.,2026,187
AZ.SMER.,2026,188
AZ.SND.,2026,181
AZ.SND.,2026,182
AZ.SND.,2026,183
AZ.SND.,2026,184
AZ.SND.,2026,185
AZ.SND.,2026,186
AZ.SND.,2026,187
AZ.SND.,2026,188
AZ.SND.,2026,189
AZ.TMSP.,2026,181
AZ.TMSP.,2026,182
AZ.TMSP.,2026,183
AZ.TMSP.,2026,184
AZ.TMSP.,2026,185
AZ.TMSP.,2026,186
AZ.TMSP.,2026,187
AZ.TMSP.,2026,188
AZ.TMSP.,2026,189
AZ.TONN.,2026,182
AZ.TONN.,2026,183
AZ.TONN.,2026,184
AZ.TONN.,2026,185
AZ.TONN.,2026,186
AZ.TONN.,2026,187
AZ.TONN.,2026,188
AZ.TRAN.,2026,181
AZ.TRAN.,2026,182
AZ.TRAN.,2026,183
AZ.TRAN.,2026,184
AZ.TRAN.,2026,185
AZ.TRAN.,2026,186
AZ.TRAN.,2026,187
AZ.TRAN.,2026,188
AZ.TRAN.,2026,189
AZ.TRO.,2026,181
AZ.TRO.,2026,182
AZ.TRO.,2026,183
AZ.TRO.,2026,184
AZ.TRO.,2026,185
AZ.TRO.,2026,186
AZ.TRO.,2026,187
AZ.TRO.,2026,188
AZ.TRO.,2026,189
AZ.TUBB.,2026,182
AZ.TUBB.,2026,183
AZ.TUBB.,2026,184
AZ.TUBB.,2026,185
AZ.TUBB.,2026,186
AZ.TUBB.,2026,187
AZ.TUBB.,2026,188
AZ.USGCB.,2026,182
AZ.USGCB.,2026,183
AZ.USGCB.,2026,184
AZ.USGCB.,2026,185
AZ.USGCB.,2026,186
AZ.USGCB.,2026,187
AZ.USGCB.,2026,188
BK.DCMP.01,2026,182
BK.DCMP.01,2026,183
BK.DCMP.01,2026,184
BK.DCMP.01,2026,185
BK.DCMP.01,2026,186
BK.DIAZ.00,2026,182
BK.DIAZ.00,2026,183
BK.DIAZ.00,2026,184
BK.DIAZ.00,2026,185
BK.DIAZ.00,2026,186
BK.DIAZ.S0,2026,181
BK.DIAZ.S0,2026,182
BK.DIAZ.S0,2026,183
BK.DIAZ.S0,2026,184
BK.DIAZ.S0,2026,185
BK.DIAZ.S0,2026,186
BK.DIAZ.S0,2026,187
BK.DIAZ.S0,2026,188
BK.DIAZ.S0,2026,189
BK.DIAZ.S0,2026,190
BK.DIAZ.S0,2026,191
BK.DIAZ.S0,2026,192
BK.DIAZ.S0,2026,193
BK.DIAZ.S0,2026,194
BK.DIAZ.S0,2026,195
BK.DIAZ.S0,2026,196
BK.DLIK.00,2026,182
BK.DLIK.00,2026,183
BK.DLIK.00,2026,184
BK.DLIK.00,2026,185
BK.DLIK.00,2026,186
BK.DMOR.00,2026,182
BK.DMOR.00,2026,183
BK.DMOR.00,2026,184
BK.DMOR.00,2026,185
BK.DMOR.00,2026,186
BK.DRDG.00,2026,182
BK.DRDG.00,2026,183
BK.DRDG.00,2026,184
BK.DRDG.00,2026,185
BK.DRDG.00,2026,186
BK.DRDG.S0,2026,181
BK.DRDG.S0,2026,182
BK.DRDG.S0,2026,183
BK.DRDG.S0,2026,184
BK.DRDG.S0,2026,185
BK.DRDG.S0,2026,186
BK.DRDG.S0,2026,187
BK.DRDG.S0,2026,188
BK.DRDG.S0,2026,189
BK.DRDG.S0,2026,190
BK.DRDG.S0,2026,191
BK.DRDG.S0,2026,192
BK.DRDG.S0,2026,193
BK.DRDG.S0,2026,194
BK.DRDG.S0,2026,195
BK.DRDG.S0,2026,196
BK.DRYC.00,2026,182
BK.DRYC.00,2026,183
BK.DRYC.00,2026,184
BK.DRYC.00,2026,185
BK.DRYC.00,2026,186
BK.DRYC.S0,2026,181
BK.DRYC.S0,2026,182
BK.DRYC.S0,2026,183
BK.DRYC.S0,2026,184
BK.DRYC.S0,2026,185
BK.DRYC.S0,2026,186
BK.DRYC.S0,2026,187
BK.DRYC.S0,2026,188
BK.DRYC.S0,2026,189
BK.DRYC.S0,2026,190
BK.DRYC.S0,2026,191
BK.DRYC.S0,2026,192
BK.DRYC.S0,2026,193
BK.DRYC.S0,2026,194
BK.DRYC.S0,2026,195
BK.DRYC.S0,2026,196
BK.EAGL.00,2026,182
BK.EAGL.00,2026,183
BK.EAGL.00,2026,184
BK.EAGL.00,2026,185
BK.EAGL.00,2026,186
BK.EAGL.S0,2026,181
BK.EAGL.S0,2026,182
BK.EAGL.S0,2026,183
BK.EAGL.S0,2026,184
BK.EAGL.S0,2026,185
BK.EAGL.S0,2026,186
BK.EAGL.S0,2026,187
BK.EAGL.S0,2026,188
BK.EAGL.S0,2026,189
BK.EAGL.S0,2026,190
BK.EAGL.S0,2026,191
BK.EAGL.S0,2026,192
BK.EAGL.S0,2026,193
BK.EAGL.S0,2026,194
BK.EAGL.S0,2026,195
BK.EAGL.S0,2026,196
BK.ETSL.00,2026,182
BK.ETSL.00,2026,183
BK.ETSL.00,2026,184
