shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2026121-2026141-f3b7c33dd6a0,ip-172-31-1-225.us-east-2.compute.internal:15,ip-172-31-42-225.us-east-2.compute.internal:15,360,8,560,8,8,1,360,58
2026001-2026021-93b030ef8605,ip-172-31-10-138.us-east-2.compute.internal:15,ip-172-31-46-155.us-east-2.compute.internal:17,440,20,500,20,10,1,440,57
2026101-2026121-fc9069ec83f9,ip-172-31-38-33.us-east-2.compute.internal:17,ip-172-31-45-206.us-east-2.compute.internal:17,200,20,400,20,4,1,200,55
2026161-2026181-875dbf3525c9,ip-172-31-17-233.us-east-2.compute.internal:17,ip-172-31-47-51.us-east-2.compute.internal:16,360,20,400,20,8,1,360,52
2026201-2026221-86ad29ec0e37,ip-172-31-21-7.us-east-2.compute.internal:16,ip-172-31-30-22.us-east-2.compute.internal:16,320,20,480,20,8,1,320,43
2026161-2026181-aa00de75f07c,ip-172-31-30-22.us-east-2.compute.internal:14,ip-172-31-24-63.us-east-2.compute.internal:14,360,35,640,35,8,1,360,41
2026041-2026061-8771eba98c8c,ip-172-31-2-226.us-east-2.compute.internal:14,ip-172-31-21-91.us-east-2.compute.internal:16,240,20,460,20,5,2,240,40
2026041-2026061-dd2a1d63388d,ip-172-31-31-97.us-east-2.compute.internal:16,ip-172-31-42-225.us-east-2.compute.internal:14,40,20,680,20,0,2,40,40
2026101-2026121-405e106790fb,ip-172-31-19-115.us-east-2.compute.internal:14,ip-172-31-21-91.us-east-2.compute.internal:16,240,20,460,20,5,1,240,40
2026101-2026121-6cb1b9094f0f,ip-172-31-14-241.us-east-2.compute.internal:14,ip-172-31-43-80.us-east-2.compute.internal:14,280,30,620,30,6,1,280,40
2026001-2026021-bb138c3282f6,ip-172-31-4-96.us-east-2.compute.internal:14,ip-172-31-14-225.us-east-2.compute.internal:15,240,20,520,20,5,1,240,40
2026181-2026201-d1a34f0b0da1,ip-172-31-45-239.us-east-2.compute.internal:14,ip-172-31-35-143.us-east-2.compute.internal:14,40,20,240,20,1,1,40,37
2026201-2026221-3765ea3827b6,ip-172-31-23-232.us-east-2.compute.internal:17,ip-172-31-11-224.us-east-2.compute.internal:15,520,20,600,20,13,1,520,36
2026081-2026101-af197e88bb4e,ip-172-31-34-67.us-east-2.compute.internal:17,ip-172-31-39-244.us-east-2.compute.internal:17,200,20,400,20,5,1,200,34
2026021-2026041-907e815281fe,ip-172-31-24-67.us-east-2.compute.internal:14,ip-172-31-2-226.us-east-2.compute.internal:14,200,37,480,37,5,1,200,30
2026181-2026201-546df1214c84,ip-172-31-10-189.us-east-2.compute.internal:16,ip-172-31-24-253.us-east-2.compute.internal:16,560,10,600,10,14,1,560,30
2026141-2026161-080886c9ad2e,ip-172-31-12-191.us-east-2.compute.internal:16,ip-172-31-4-15.us-east-2.compute.internal:16,320,20,380,20,8,1,320,23
2026241-2026251-d89c675acab0,ip-172-31-21-84.us-east-2.compute.internal:16,ip-172-31-45-206.us-east-2.compute.internal:16,40,20,100,20,1,1,40,22
2026241-2026251-2360d1e3ef99,ip-172-31-21-179.us-east-2.compute.internal:17,ip-172-31-2-8.us-east-2.compute.internal:17,40,29,150,29,1,1,40,20
2026181-2026201-fea851fb45f4,ip-172-31-43-80.us-east-2.compute.internal:16,ip-172-31-26-157.us-east-2.compute.internal:17,520,20,600,20,13,1,520,13
