shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2015115-2015135-af53c30286db,ip-172-31-20-104.us-east-2.compute.internal:16,ip-172-31-40-233.us-east-2.compute.internal:16,400,19,420,19,10,1,400,120
2017344-2017364-0258e7dd24da,ip-172-31-36-42.us-east-2.compute.internal:16,ip-172-31-31-35.us-east-2.compute.internal:17,560,12,600,12,27,1,560,112
2023313-2023333-cc20bdac4b36,ip-172-31-23-119.us-east-2.compute.internal:18,ip-172-31-16-245.us-east-2.compute.internal:17,160,39,480,39,3,1,160,93
2021363-2022018-001089680a18,ip-172-31-4-41.us-east-2.compute.internal:17,ip-172-31-6-144.us-east-2.compute.internal:17,200,31,370,31,5,1,200,93
2019314-2019334-8d6a1122e39b,ip-172-31-22-159.us-east-2.compute.internal:17,ip-172-31-2-223.us-east-2.compute.internal:17,200,16,370,16,4,1,200,92
2020149-2020169-b08170fc2eb0,ip-172-31-12-54.us-east-2.compute.internal:17,ip-172-31-30-245.us-east-2.compute.internal:17,280,26,460,26,7,1,280,90
2024168-2024188-b789b4be1957,ip-172-31-28-228.us-east-2.compute.internal:17,ip-172-31-15-42.us-east-2.compute.internal:17,160,28,600,28,4,1,160,84
2023073-2023093-24a0931278f8,ip-172-31-28-131.us-east-2.compute.internal:17,ip-172-31-21-125.us-east-2.compute.internal:17,160,39,440,39,3,2,160,82
2015335-2015355-aa2492be1bab,ip-172-31-21-200.us-east-2.compute.internal:17,ip-172-31-24-254.us-east-2.compute.internal:17,200,20,360,20,4,1,200,79
2019234-2019254-484050c11eeb,ip-172-31-45-15.us-east-2.compute.internal:17,ip-172-31-3-239.us-east-2.compute.internal:14,240,17,500,17,6,1,240,78
2025102-2025122-8e4ddf2a089f,ip-172-31-40-220.us-east-2.compute.internal:17,ip-172-31-34-74.us-east-2.compute.internal:17,200,26,446,26,4,2,200,77
2019094-2019114-544c6fc7c351,ip-172-31-13-243.us-east-2.compute.internal:15,ip-172-31-0-22.us-east-2.compute.internal:15,240,20,560,20,5,1,240,76
2019254-2019274-0325b1be0743,ip-172-31-47-97.us-east-2.compute.internal:16,ip-172-31-3-239.us-east-2.compute.internal:15,240,37,520,37,5,1,240,75
2023253-2023273-c97927394c83,ip-172-31-1-135.us-east-2.compute.internal:15,ip-172-31-9-138.us-east-2.compute.internal:15,360,20,660,20,8,1,360,74
2019334-2019354-5ee2245e3704,ip-172-31-12-148.us-east-2.compute.internal:16,ip-172-31-35-203.us-east-2.compute.internal:15,160,9,380,9,4,1,160,73
2025022-2025042-91a54d9ea2dc,ip-172-31-6-218.us-east-2.compute.internal:15,ip-172-31-26-62.us-east-2.compute.internal:16,80,20,560,20,2,1,80,73
2019094-2019114-251f7c5323d9,ip-172-31-44-205.us-east-2.compute.internal:17,ip-172-31-25-234.us-east-2.compute.internal:17,200,26,380,26,4,1,200,72
2023253-2023273-fb3a473adb69,ip-172-31-31-119.us-east-2.compute.internal:15,ip-172-31-23-222.us-east-2.compute.internal:15,240,18,520,18,5,1,240,70
2023153-2023173-b3a752cb7870,ip-172-31-29-5.us-east-2.compute.internal:16,ip-172-31-7-90.us-east-2.compute.internal:16,200,20,440,20,4,1,200,70
2025182-2025202-c351ad0caba7,ip-172-31-28-185.us-east-2.compute.internal:17,ip-172-31-1-57.us-east-2.compute.internal:17,200,20,380,20,4,1,200,69
2013125-2013145-cc902d5b62ef,ip-172-31-12-237.us-east-2.compute.internal:16,ip-172-31-29-26.us-east-2.compute.internal:16,200,20,340,20,4,1,200,67
2014040-2014060-9418a87f10b9,ip-172-31-1-62.us-east-2.compute.internal:14,ip-172-31-8-178.us-east-2.compute.internal:17,200,20,320,20,4,1,200,67
2018359-2019014-13f8e369a8e3,ip-172-31-6-14.us-east-2.compute.internal:16,ip-172-31-45-133.us-east-2.compute.internal:16,200,30,480,30,5,1,200,65
2018159-2018179-078997a99be8,ip-172-31-25-50.us-east-2.compute.internal:17,ip-172-31-1-72.us-east-2.compute.internal:16,240,36,400,36,5,1,240,65
2017284-2017304-4c03dbe58e1a,ip-172-31-9-174.us-east-2.compute.internal:15,ip-172-31-20-116.us-east-2.compute.internal:17,240,22,600,22,10,2,240,64
2024008-2024028-6a79600d0d26,ip-172-31-13-150.us-east-2.compute.internal:17,ip-172-31-4-16.us-east-2.compute.internal:15,720,29,783,29,17,1,720,63
2017264-2017284-1e00ea1f4d27,ip-172-31-40-227.us-east-2.compute.internal:16,ip-172-31-6-220.us-east-2.compute.internal:16,160,21,380,21,4,1,160,62
2019114-2019134-d81244cd51d7,ip-172-31-7-204.us-east-2.compute.internal:15,ip-172-31-17-203.us-east-2.compute.internal:15,240,20,560,20,6,1,240,62
2019194-2019214-16ae8b094c9b,ip-172-31-5-233.us-east-2.compute.internal:14,ip-172-31-45-178.us-east-2.compute.internal:17,160,39,500,39,6,4,160,61
2023213-2023233-567bbca5eaa3,ip-172-31-35-149.us-east-2.compute.internal:17,ip-172-31-43-249.us-east-2.compute.internal:17,240,20,520,20,5,1,240,60
2025282-2025302-4d603c280e46,ip-172-31-3-120.us-east-2.compute.internal:17,ip-172-31-30-143.us-east-2.compute.internal:17,200,20,380,20,4,1,200,60
2018099-2018119-b854a1ea78b9,ip-172-31-2-147.us-east-2.compute.internal:16,ip-172-31-13-249.us-east-2.compute.internal:16,240,20,360,20,5,1,240,59
2023193-2023213-91532ef4a19a,ip-172-31-6-14.us-east-2.compute.internal:17,ip-172-31-31-236.us-east-2.compute.internal:16,200,20,380,20,4,1,200,59
2015095-2015115-38fd7efca407,ip-172-31-21-164.us-east-2.compute.internal:15,ip-172-31-35-239.us-east-2.compute.internal:16,160,17,480,17,6,2,160,58
2013365-2014020-a29c4b38fa22,ip-172-31-26-165.us-east-2.compute.internal:16,ip-172-31-37-134.us-east-2.compute.internal:16,160,34,680,34,4,1,160,58
2023333-2023353-104a2a2dc82d,ip-172-31-3-246.us-east-2.compute.internal:17,ip-172-31-28-179.us-east-2.compute.internal:17,200,20,480,20,5,1,200,56
2019354-2020009-4edf006f20e5,ip-172-31-7-169.us-east-2.compute.internal:16,ip-172-31-43-105.us-east-2.compute.internal:16,160,38,380,38,3,1,160,56
2018219-2018239-4f876efc4edb,ip-172-31-10-174.us-east-2.compute.internal:14,ip-172-31-2-79.us-east-2.compute.internal:16,240,33,600,33,10,2,240,56
2020129-2020149-f2c81102bb75,ip-172-31-5-164.us-east-2.compute.internal:15,ip-172-31-19-77.us-east-2.compute.internal:14,280,20,640,20,6,1,280,55
2011316-2011336-acb3f76247ae,ip-172-31-25-113.us-east-2.compute.internal:16,ip-172-31-19-178.us-east-2.compute.internal:17,320,20,380,20,7,2,320,55
2023053-2023073-598f38353c53,ip-172-31-39-170.us-east-2.compute.internal:17,ip-172-31-45-1.us-east-2.compute.internal:17,120,36,420,36,3,1,120,54
2023253-2023273-a9e056d4736f,ip-172-31-26-243.us-east-2.compute.internal:16,ip-172-31-14-42.us-east-2.compute.internal:16,160,20,360,20,3,1,160,54
2013085-2013105-b230a4a21334,ip-172-31-41-205.us-east-2.compute.internal:14,ip-172-31-4-85.us-east-2.compute.internal:17,240,39,280,39,6,1,240,52
2019074-2019094-c0d740b89527,ip-172-31-0-108.us-east-2.compute.internal:16,ip-172-31-5-217.us-east-2.compute.internal:16,240,22,380,22,6,1,240,52
2024248-2024268-cfae721a7014,ip-172-31-27-191.us-east-2.compute.internal:15,ip-172-31-2-107.us-east-2.compute.internal:15,240,26,520,26,5,1,240,52
2017184-2017204-f998ea3da387,ip-172-31-30-233.us-east-2.compute.internal:14,ip-172-31-23-222.us-east-2.compute.internal:14,160,20,360,20,6,2,160,52
2017284-2017304-89970556d0d9,ip-172-31-22-118.us-east-2.compute.internal:17,ip-172-31-38-248.us-east-2.compute.internal:17,120,20,320,20,2,1,120,52
2013305-2013325-717455201ce8,ip-172-31-17-177.us-east-2.compute.internal:16,ip-172-31-32-98.us-east-2.compute.internal:16,200,37,680,37,7,2,200,51
