id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date,state
1A.BOC1.,1A,BOC1,,EH,35.2562,-111.6232,2256.0,2019.227,2019.326,Arizona
1A.BOC2.,1A,BOC2,,"EH,SH",35.2561,-111.6236,2347.0,2020.168,2020.316,Arizona
1A.C18A.,1A,C18A,,EH,35.2582,-111.608,2608.0,2019.225,2019.329,Arizona
1A.C19A.,1A,C19A,,EH,35.2563,-111.6087,2621.0,2019.225,2019.283,Arizona
1A.C19B.,1A,C19B,,EH,35.2557,-111.6084,2637.0,2019.225,2019.327,Arizona
1A.C19C.,1A,C19C,,EH,35.2569,-111.6108,2514.5,2019.226,2019.326,Arizona
1A.C19D.,1A,C19D,,EH,35.2567,-111.6116,2495.0,2019.227,2019.327,Arizona
1A.CFSG.00,1A,CFSG,00,"HH,LH",35.2536,-111.6246,2304.0,2020.237,2022.365,Arizona
1A.COCA.00,1A,COCA,00,"HH,LH",35.2591,-111.6135,2434.0,2019.221,2021.173,Arizona
1A.CUW1.,1A,CUW1,,EH,35.2614,-111.6058,2568.0,2019.225,2019.33,Arizona
1A.CUW2.,1A,CUW2,,EH,35.2627,-111.6081,2560.0,2019.226,2019.323,Arizona
1A.D19A.,1A,D19A,,"EH,SH",35.2564,-111.6078,2676.0,2020.17,2020.309,Arizona
1A.D19B.,1A,D19B,,"EH,MH",35.2564,-111.6089,2622.0,2020.17,2020.309,Arizona
1A.D19C.,1A,D19C,,"EH,SH",35.2564,-111.6103,2535.0,2020.167,2020.309,Arizona
1A.D19D.,1A,D19D,,"EH,SH",35.2572,-111.6108,2512.0,2020.168,2020.309,Arizona
1A.D19E.,1A,D19E,,"EH,MH",35.2564,-111.6117,2486.0,2020.168,2020.311,Arizona
1A.D19F.,1A,D19F,,"EH,SH",35.2567,-111.6136,2453.0,2020.168,2020.309,Arizona
1A.LBB1.,1A,LBB1,,EH,35.2598,-111.6239,2391.0,2019.227,2019.323,Arizona
1A.LBB2.,1A,LBB2,,"EH,SH",35.2597,-111.6239,2384.0,2020.168,2020.31,Arizona
1A.LG1A.,1A,LG1A,,EH,35.2525,-111.6345,2288.0,2019.226,2019.326,Arizona
1A.LG2A.,1A,LG2A,,EH,35.2526,-111.6362,2320.0,2019.226,2019.326,Arizona
1A.LG2B.,1A,LG2B,,"EH,SH",35.25,-111.6319,2250.0,2020.169,2020.31,Arizona
1A.LW1A.00,1A,LW1A,00,"HH,LH",35.259,-111.6126,2443.0,2019.221,2020.197,Arizona
1A.UO1A.00,1A,UO1A,00,"HH,LH",35.2593,-111.6064,2605.0,2019.221,2022.365,Arizona
1A.UOCA.,1A,UOCA,,EH,35.2577,-111.6149,2432.0,2019.227,2019.327,Arizona
1A.UOCC.,1A,UOCC,,"EH,MH",35.2583,-111.6182,2282.0,2020.236,2020.301,Arizona
2G.IUGFS.,2G,IUGFS,,"AC,BH,LC,LH,LO,OC,VC,VE,VK,VM,VP",45.728371,-111.970802,1633.7,2010.167,2015.088,Montana
3C.DUN1.,3C,DUN1,,"HH,LO",32.553799,-109.090103,1257.0,2014.19,2014.288,Arizona
3C.DUN2.,3C,DUN2,,"HH,LO",32.5504,-109.172302,1394.0,2014.183,2014.288,Arizona
3C.DUN3.,3C,DUN3,,"EH,LO",32.598,-109.005798,1241.0,2014.189,2014.24,New Mexico
3C.DUN4.,3C,DUN4,,"EH,LO",32.5774,-109.138496,1313.0,2014.189,2014.24,Arizona
3C.DUN5.,3C,DUN5,,"EH,LO",32.489201,-109.146004,1364.0,2014.204,2014.24,Arizona
3C.TOM.,3C,TOM,,"EH,LO",32.683701,-109.138496,1188.0,2014.189,2014.252,Arizona
3L.MFS.,3L,MFS,,"HH,LH,LO,VM",45.7284,-111.9707,1627.0,2019.213,2023.365,Montana
4A.BB1A.,4A,BB1A,,"HH,LH",35.605339,-111.625763,1795.0,2016.287,2018.365,Arizona
4A.BB1A.00,4A,BB1A,00,"HH,LH",35.605339,-111.625763,1795.0,2017.13,2019.159,Arizona
4A.BB1A.D0,4A,BB1A,D0,"GA,GE,GL,GN,GP,GS,LC,VC,VD,VE,VM,VP",35.605339,-111.625763,1795.0,2017.13,2019.159,Arizona
4A.BB4A.,4A,BB4A,,"HH,LH",35.570831,-111.651222,1932.0,2016.286,2018.365,Arizona
4A.BB4A.00,4A,BB4A,00,"HH,LH",35.570831,-111.651222,1932.0,2017.123,2018.19,Arizona
4A.BB4A.D0,4A,BB4A,D0,"GA,GE,GL,GN,GP,GS,LC,VC,VD,VE,VM,VP",35.570831,-111.651222,1932.0,2017.13,2018.19,Arizona
4A.BB5A.,4A,BB5A,,"HH,LH",35.576328,-111.61911,1902.0,2016.286,2018.365,Arizona
4A.BB5A.00,4A,BB5A,00,"HH,LH",35.576328,-111.61911,1902.0,2017.13,2019.025,Arizona
4A.BB5A.D0,4A,BB5A,D0,"GA,GE,GL,GN,GP,GS,LC,VC,VD,VE,VM,VP",35.576328,-111.61911,1902.0,2017.13,2019.025,Arizona
4A.BB6A.,4A,BB6A,,"HH,LH",35.58395,-111.591927,1820.0,2016.287,2018.365,Arizona
