id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date,state
1A.SIA.,1A,SIA,,CN,44.215005,-122.254682,485.280039,2023.136,2023.138,Oregon
1B.1.,1B,1,,DP,35.688107,-120.400028,435.4,2018.207,2018.304,California
1B.10.,1B,10,,DP,35.689528,-120.401427,424.8,2018.207,2018.304,California
1B.11.,1B,11,,DP,35.689002,-120.402311,422.0,2018.207,2018.304,California
1B.12.,1B,12,,DP,35.688172,-120.40268,422.0,2018.207,2018.304,California
1B.13.,1B,13,,DP,35.687314,-120.402376,429.3,2018.207,2018.304,California
1B.14.,1B,14,,DP,35.686781,-120.40151,430.8,2018.207,2018.304,California
1B.15.,1B,15,,DP,35.686731,-120.400411,424.1,2018.207,2018.304,California
1B.16.,1B,16,,DP,35.687243,-120.399511,421.5,2018.207,2018.304,California
1B.17.,1B,17,,DP,35.688947,-120.398462,429.4,2018.207,2018.304,California
1B.18.,1B,18,,DP,35.689702,-120.399096,440.6,2018.207,2018.304,California
1B.19.,1B,19,,DP,35.69015,-120.40007,433.8,2018.207,2018.304,California
1B.2.,1B,2,,DP,35.688783,-120.400484,441.1,2018.207,2018.304,California
1B.20.,1B,20,,DP,35.690275,-120.401135,418.0,2018.207,2018.304,California
1B.21.,1B,21,,DP,35.690025,-120.402176,414.3,2018.207,2018.304,California
1B.22.,1B,22,,DP,35.687714,-120.403546,419.0,2018.207,2018.304,California
1B.23.,1B,23,,DP,35.686885,-120.403103,416.5,2018.207,2018.304,California
1B.24.,1B,24,,DP,35.686323,-120.40225,423.2,2018.207,2018.304,California
1B.25.,1B,25,,DP,35.686002,-120.401226,423.9,2018.207,2018.304,California
1B.26.,1B,26,,DP,35.722085,-120.230777,584.8,2018.209,2018.304,California
1B.27.,1B,27,,DP,35.722703,-120.231221,588.5,2018.209,2018.304,California
1B.28.,1B,28,,DP,35.722706,-120.232202,572.7,2018.209,2018.304,California
1B.29.,1B,29,,DP,35.722121,-120.232551,601.0,2018.209,2018.304,California
1B.3.,1B,3,,DP,35.688765,-120.40136,434.9,2018.207,2018.304,California
1B.30.,1B,30,,DP,35.721498,-120.232129,594.4,2018.209,2018.304,California
1B.31.,1B,31,,DP,35.721483,-120.231128,585.8,2018.209,2018.304,California
1B.32.,1B,32,,DP,35.722069,-120.229905,600.6,2018.209,2018.304,California
1B.33.,1B,33,,DP,35.722922,-120.230216,620.8,2018.209,2018.304,California
1B.34.,1B,34,,DP,35.723495,-120.231041,595.9,2018.209,2018.304,California
1B.35.,1B,35,,DP,35.723484,-120.232162,575.8,2018.209,2018.304,California
1B.36.,1B,36,,DP,35.722981,-120.233065,573.5,2018.209,2018.304,California
1B.37.,1B,37,,DP,35.722148,-120.233425,609.6,2018.209,2018.304,California
1B.38.,1B,38,,DP,35.721354,-120.232932,604.3,2018.209,2018.304,California
1B.39.,1B,39,,DP,35.720726,-120.232241,607.5,2018.209,2018.304,California
1B.4.,1B,4,,DP,35.688155,-120.401803,431.4,2018.207,2018.304,California
1B.40.,1B,40,,DP,35.720718,-120.231161,610.5,2018.209,2018.304,California
1B.41.,1B,41,,DP,35.721176,-120.2303,586.2,2018.209,2018.304,California
1B.42.,1B,42,,DP,35.722072,-120.229046,618.8,2018.209,2018.304,California
1B.43.,1B,43,,DP,35.72332,-120.229483,632.4,2018.209,2018.304,California
1B.44.,1B,44,,DP,35.724153,-120.230758,0.0,2018.209,2018.304,California
1B.45.,1B,45,,DP,35.724131,-120.232359,563.6,2018.209,2018.304,California
1B.46.,1B,46,,DP,35.723428,-120.233783,580.7,2018.209,2018.304,California
1B.47.,1B,47,,DP,35.722159,-120.23431,611.3,2018.209,2018.304,California
1B.48.,1B,48,,DP,35.720882,-120.233854,599.2,2018.209,2018.304,California
1B.49.,1B,49,,DP,35.720066,-120.232572,603.6,2018.209,2018.304,California
1B.5.,1B,5,,DP,35.687507,-120.401392,435.8,2018.207,2018.304,California
1B.50.,1B,50,,DP,35.720028,-120.230916,605.8,2018.209,2018.304,California
1B.51.,1B,51,,DP,35.545535,-120.347522,492.2,2018.208,2018.304,California
1B.52.,1B,52,,DP,35.544891,-120.34798,501.3,2018.208,2018.304,California
1B.53.,1B,53,,DP,35.544261,-120.348365,501.6,2018.208,2018.304,California
1B.54.,1B,54,,DP,35.543629,-120.348803,498.5,2018.208,2018.304,California
1B.55.,1B,55,,DP,35.543036,-120.349205,499.3,2018.208,2018.304,California
1B.56.,1B,56,,DP,35.542366,-120.349653,497.5,2018.208,2018.304,California
1B.57.,1B,57,,DP,35.541743,-120.350086,496.0,2018.208,2018.304,California
1B.58.,1B,58,,DP,35.54504,-120.34734,499.6,2018.208,2018.304,California
1B.59.,1B,59,,DP,35.5444,-120.347796,505.9,2018.208,2018.304,California
1B.6.,1B,6,,DP,35.687485,-120.400489,432.2,2018.207,2018.304,California
1B.60.,1B,60,,DP,35.543808,-120.348194,501.4,2018.208,2018.304,California
1B.61.,1B,61,,DP,35.543168,-120.348599,502.4,2018.208,2018.304,California
1B.62.,1B,62,,DP,35.542513,-120.349045,502.4,2018.208,2018.304,California
1B.63.,1B,63,,DP,35.541872,-120.349469,500.5,2018.208,2018.304,California
1B.64.,1B,64,,DP,35.545397,-120.348133,496.1,2018.208,2018.304,California
1B.65.,1B,65,,DP,35.54473,-120.348561,499.4,2018.208,2018.304,California
1B.66.,1B,66,,DP,35.544122,-120.348985,496.8,2018.208,2018.304,California
1B.67.,1B,67,,DP,35.543508,-120.349393,495.1,2018.208,2018.304,California
